instrument_id,instrument_number,timestamp,open,high,low,close,volume
6618881,AFFORDABLE,2026-01-01T12:15:00+05:30,1577.7,1580.8,1574.3,1575.2,915500
6618881,AFFORDABLE,2026-01-01T13:15:00+05:30,1574.8,1581.4,1573,1579.2,1029761
6618881,AFFORDABLE,2026-01-01T14:15:00+05:30,1579.1,1580.1,1574.2,1575,1399402
6618881,AFFORDABLE,2026-01-01T15:15:00+05:30,1574.4,1574.4,1571.1,1572.7,651075
6618881,AFFORDABLE,2026-01-02T09:15:00+05:30,1580,1589.9,1578.2,1588.9,837086
6618881,AFFORDABLE,2026-01-02T10:15:00+05:30,1588.9,1589.9,1583.7,1584,850484
6618881,AFFORDABLE,2026-01-02T11:15:00+05:30,1584,1588.5,1582.6,1586.9,763352
6618881,AFFORDABLE,2026-01-02T12:15:00+05:30,1587,1590,1586.7,1589.5,776909
6618881,AFFORDABLE,2026-01-02T13:15:00+05:30,1589.5,1592.9,1589.2,1591.2,1014655
6618881,AFFORDABLE,2026-01-02T14:15:00+05:30,1591.2,1594.6,1588.4,1592.9,1586054
6618881,AFFORDABLE,2026-01-02T15:15:00+05:30,1592.9,1593,1591.3,1593,697456
6618881,AFFORDABLE,2026-01-05T09:15:00+05:30,1593,1611.8,1592.3,1598.9,1963688
6618881,AFFORDABLE,2026-01-05T10:15:00+05:30,1598.9,1599.7,1594.7,1597,733343
6618881,AFFORDABLE,2026-01-05T11:15:00+05:30,1597,1597,1590,1592,797578
6618881,AFFORDABLE,2026-01-05T12:15:00+05:30,1592.1,1592.5,1587.7,1589.3,759059
6618881,AFFORDABLE,2026-01-05T13:15:00+05:30,1589.2,1589.7,1579.1,1579.7,1084762
6618881,AFFORDABLE,2026-01-05T14:15:00+05:30,1579.7,1582.5,1576.4,1577.5,1945160
6618881,AFFORDABLE,2026-01-05T15:15:00+05:30,1577.5,1578.4,1575.3,1577.2,1037632
6618881,AFFORDABLE,2026-01-06T09:15:00+05:30,1569,1569,1517.8,1526.2,9391147
6618881,AFFORDABLE,2026-01-06T10:15:00+05:30,1526.3,1528.2,1510.3,1510.3,2720615
6618881,AFFORDABLE,2026-01-06T11:15:00+05:30,1511.2,1514.3,1496.3,1509.3,5682706
6618881,AFFORDABLE,2026-01-06T12:15:00+05:30,1509.3,1510,1502.2,1506,2030328
6618881,AFFORDABLE,2026-01-06T13:15:00+05:30,1506,1507.9,1499.4,1501.3,2798976
6618881,AFFORDABLE,2026-01-06T14:15:00+05:30,1501.4,1511,1501.2,1506.6,3018865
6618881,AFFORDABLE,2026-01-06T15:15:00+05:30,1506.6,1510,1505.5,1508.7,1373509
6618881,AFFORDABLE,2026-01-07T09:15:00+05:30,1510,1520,1504.4,1512.4,2566289
